sep=;
Long;Lat
13.0309107;47.7893933
Timestamp;Temperature;Humidity
1484612100;-3.4;93
1484613900;-3.4;93
1484615700;-3.6;93
1484617500;-3.7;93
1484619300;-3.7;94
1484621100;-3.8;93
1484622900;-3.7;93
1484624700;-3.7;93
1484626500;-3.7;92
1484628300;-3.7;92
1484630100;-3.7;93
1484631900;-3.7;93
1484633700;-3.6;93
1484635500;-3.6;93
1484637300;-3.6;93
1484639100;-3.4;93
1484640900;-3.3;93
1484642700;-3.1;91
1484644500;-2.7;91
1484646300;-2.3;90
1484648100;-1.7;87
1484649900;-1.4;83
1484651700;-1.2;81
1484653500;-1.1;79
1484655300;-1.4;78
1484657100;-1.6;78
1484658900;-1.5;77
1484660700;-1.3;76
1484662500;-1.5;76
1484664300;-1.9;75
1484666100;-2.3;77
1484667900;-2.7;78
1484669700;-3;78
1484671500;-3.3;79
1484673300;-3.6;79
1484675100;-3.8;81
1484676900;-4.4;80
1484678700;-5.1;82
1484680500;-5.5;83
1484682300;-6.3;83
1484684100;-6.8;85
1484685900;-7.2;85
1484687700;-7.8;85
1484689500;-8.3;85
1484691300;-8.6;86
1484693100;-8.9;86
1484694900;-9.2;87
1484696700;-9.5;86
1484698500;-9.8;86
1484700300;-10;86
1484702100;-10;87
1484703900;-10.2;86
1484705700;-10.2;87
1484707500;-10.2;88
1484709300;-9.9;90
1484711100;-9.9;88
1484712900;-9.8;90
1484714700;-9.4;90
1484716500;-9.3;89
1484718300;-9.8;86
1484720100;-10.1;88
1484721900;-10.2;89
1484723700;-10;89
1484725500;-9.6;89
1484727300;-9.2;89
1484729100;-8.3;88
1484730900;-4.8;82
1484732700;-3.2;71
1484734500;-3.6;69
1484736300;-4.1;72
1484738100;-3.9;73
1484739900;-3.6;73
1484741700;-3;72
1484743500;-2.3;72
1484745300;-2;72
1484747100;-1.7;72
1484748900;-1.8;73
1484750700;-2.4;74
1484752500;-2.9;77
1484754300;-3.1;78
1484756100;-3.2;79
1484757900;-3.7;79
1484759700;-4;79
1484761500;-4.3;79
1484763300;-5;79
1484765100;-5.6;81
1484766900;-6;82
1484768700;-6.6;83
1484770500;-7;83
1484772300;-7.6;84
1484774100;-8;86
1484775900;-8.1;86
1484777700;-8.5;87
1484779500;-8.8;87
1484781300;-9.2;87
1484783100;-9.5;88
1484784900;-9.8;87
1484786700;-10.2;87
1484788500;-10.2;88
1484790300;-10.3;88
1484792100;-10.2;89
1484793900;-10.4;87
1484795700;-10.7;87
1484797500;-10.8;87
1484799300;-11;86
1484801100;-11.2;87
1484802900;-11.6;85
1484804700;-12;85
1484806500;-12.4;85
1484808300;-12.4;86
1484810100;-12.5;85
1484811900;-12.4;86
1484813700;-11.7;88
1484815500;-10.4;89
1484817300;-6.8;83
1484819100;-4.9;74
1484820900;-5;71
1484822700;-5.5;75
1484824500;-5.3;76
1484826300;-4.8;76
1484828100;-4.3;76
1484829900;-3.8;76
1484831700;-3.4;75
1484833500;-3.3;74
1484835300;-2.5;73
1484837100;-2.6;71
1484838900;-3.4;73
1484840700;-4.2;75
1484842500;-5.2;77
1484844300;-6.2;80
1484846100;-6.9;82
1484847900;-7.5;83
1484849700;-8.1;84
1484851500;-8.5;84
1484853300;-8.8;85
1484855100;-9.2;85
1484856900;-9.6;85
1484858700;-10.1;85
1484860500;-10.4;85
1484862300;-10.5;85
1484864100;-10.6;85
1484865900;-10.8;85
1484867700;-11.1;85
1484869500;-11.5;84
1484871300;-11.5;85
1484873100;-11.7;84
1484874900;-12.1;83
1484876700;-12.4;84
1484878500;-12.6;84
1484880300;-12.6;85
1484882100;-12.5;85
1484883900;-12.6;84
1484885700;-12.7;84
1484887500;-13;84
1484889300;-13.1;84
1484891100;-13.3;83
1484892900;-13.6;83
1484894700;-13.6;84
1484896500;-13.6;84
1484898300;-13.4;85
1484900100;-12.6;88
1484901900;-11;90
1484903700;-7.8;86
1484905500;-6.2;78
1484907300;-5.9;76
1484909100;-6.1;79
1484910900;-5.6;80
1484912700;-4.9;80
1484914500;-4.2;79
1484916300;-3.7;77
1484918100;-3.2;76
1484919900;-2.8;76
1484921700;-1.4;74
1484923500;-1.3;70
1484925300;-2.2;73
1484927100;-3.1;75
1484928900;-4.1;77
